Country,Continent,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,Class
Albania,Europe,1,0,0,0,0,0,1,2,2,3,3,1
Algeria,Africa,80,67,71,69,63,44,69,132,242,434,491,0
American Samoa,Oceania,0,1,0,0,0,0,0,1,0,1,2,0
Andorra,Europe,0,0,0,0,0,0,2,0,0,0,3,1
Angola,Africa,1,3,6,6,4,3,5,5,11,6,8,0
Antigua and Barbuda,Latin America and the Caribbean,0,0,0,0,42,52,51,61,34,51,31,0
Argentina,Latin America and the Caribbean,368,426,626,241,237,196,213,519,374,538,678,0
Armenia,Asia,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Oceania,702,639,484,317,317,319,356,467,410,553,620,1
Austria,Europe,234,238,201,117,127,165,196,265,198,227,158,1
Azerbaijan,Asia,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,Latin America and the Caribbean,26,23,38,12,21,28,23,18,22,32,18,0
Bahrain,Asia,0,2,1,1,1,3,0,2,10,9,6,0
Bangladesh,Asia,83,84,86,81,98,92,486,503,476,387,611,0
Barbados,Latin America and the Caribbean,372,376,299,244,265,285,251,303,265,275,327,0
Belarus,Europe,0,0,0,0,0,0,0,0,0,0,0,1
Belgium,Europe,511,540,519,297,183,181,197,283,333,307,303,1
Belize,Latin America and the Caribbean,16,27,13,21,37,26,25,23,53,33,38,0
Benin,Africa,2,5,4,3,4,3,6,4,20,14,13,0
Bhutan,Asia,0,0,0,0,1,0,0,0,0,1,0,0
Bolivia (Plurinational State of),Latin America and the Caribbean,44,52,42,49,38,44,79,165,63,68,71,0
Bosnia and Herzegovina,Europe,0,0,0,0,0,0,0,0,0,0,0,1
Botswana,Africa,10,1,3,3,7,4,2,3,8,8,2,0
Brazil,Latin America and the Caribbean,211,220,192,139,145,130,205,244,394,650,650,0
Brunei Darussalam,Asia,79,6,8,2,2,4,12,16,103,63,44,0
Bulgaria,Europe,24,20,12,33,11,24,33,52,43,85,172,1
Burkina Faso,Africa,2,1,3,2,3,2,7,18,6,4,4,0
Burundi,Africa,0,0,0,0,1,2,1,5,1,14,19,0
Cabo Verde,Africa,1,1,2,0,11,1,9,3,1,7,14,0
Cambodia,Asia,12,19,26,33,10,7,8,14,15,27,34,0
Cameroon,Africa,9,2,16,7,8,13,11,18,20,38,34,0
Canada,Northern America,0,0,0,0,0,0,0,0,0,0,3,1
Central African Republic,Africa,4,3,1,0,0,0,0,2,3,4,6,0
Chad,Africa,0,0,1,0,0,1,2,3,7,14,8,0
Chile,Latin America and the Caribbean,1233,1069,1078,781,681,533,633,1454,990,1023,1286,0
China,Asia,5123,6682,3308,1863,1527,1816,1960,2643,2758,4323,8076,0
"China, Hong Kong Special Administrative Region",Asia,0,0,0,0,0,0,0,0,0,0,0,0
"China, Macao Special Administrative Region",Asia,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,Latin America and the Caribbean,266,326,360,244,235,214,257,376,352,439,614,0
Comoros,Africa,0,2,2,0,0,2,1,0,2,2,1,0
Congo,Africa,2,0,1,0,1,2,4,1,1,5,3,0
Costa Rica,Latin America and the Caribbean,28,35,42,51,75,113,79,116,104,92,99,0
C̫te d'Ivoire,Africa,14,8,10,6,21,23,23,20,17,37,42,0
Croatia,Europe,0,0,0,0,0,0,0,0,0,0,0,1
Cuba,Latin America and the Caribbean,306,41,94,104,101,115,102,139,90,122,135,0
Cyprus,Asia,132,128,84,46,46,43,48,48,56,55,27,0
Czech Republic,Europe,0,0,0,0,0,0,0,0,0,0,0,1
Democratic People's Republic of Korea,Asia,1,1,3,1,4,3,0,0,0,0,1,0
Democratic Republic of the Congo,Africa,15,16,17,17,28,11,38,66,46,48,116,0
Denmark,Europe,272,293,299,106,93,73,93,109,129,129,118,1
Djibouti,Africa,0,1,1,5,1,0,4,2,4,6,10,0
Dominica,Latin America and the Caribbean,104,81,94,65,81,79,50,89,75,96,77,0
Dominican Republic,Latin America and the Caribbean,40,53,104,88,97,84,307,446,358,409,363,0
Ecuador,Latin America and the Caribbean,238,207,184,155,179,208,240,344,265,278,552,0
Egypt,Africa,612,660,755,455,447,348,514,1017,1085,1663,2365,0
El Salvador,Latin America and the Caribbean,110,295,882,2587,2666,2769,3106,3558,2720,2955,4384,0
Equatorial Guinea,Africa,0,0,0,0,0,0,1,0,0,0,0,0
Eritrea,Africa,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Europe,0,0,0,0,0,0,0,0,0,0,14,1
Ethiopia,Africa,98,59,54,98,154,157,302,555,690,1096,890,0
Fiji,Oceania,632,705,814,554,389,446,361,523,561,736,1172,0
Finland,Europe,208,205,170,70,83,69,68,92,89,78,73,1
France,Europe,1729,2027,2219,1490,1169,1177,1298,1658,2038,2332,2177,1
Gabon,Africa,2,3,2,2,1,0,0,5,3,4,10,0
Gambia,Africa,0,0,1,0,0,2,4,22,3,6,12,0
Georgia,Asia,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Europe,1626,1977,3062,2376,1610,1441,1233,1704,1482,1706,1273,1
Ghana,Africa,172,196,98,122,116,172,215,970,408,429,449,0
Greece,Europe,1065,953,897,633,580,584,547,765,564,773,538,1
Grenada,Latin America and the Caribbean,154,181,231,165,167,168,235,302,165,170,172,0
Guatemala,Latin America and the Caribbean,114,108,113,366,598,975,1265,1060,702,773,1023,0
Guinea,Africa,0,3,3,6,4,3,5,14,12,17,10,0
Guinea-Bissau,Africa,0,0,0,0,1,0,0,0,3,4,4,0
Guyana,Latin America and the Caribbean,2334,2943,3575,2650,1932,2299,3942,6174,2977,3270,2824,0
Haiti,Latin America and the Caribbean,1666,3692,3498,2860,1418,1321,1753,2132,1829,2377,2379,0
Honduras,Latin America and the Caribbean,26,33,30,68,65,69,81,135,111,138,187,0
Hungary,Europe,205,310,397,337,310,522,647,676,1139,979,780,1
Iceland,Europe,17,33,10,9,13,6,11,11,7,3,2,1
India,Asia,8880,8670,8147,7338,5704,4211,7150,10189,11522,10343,12041,0
Indonesia,Asia,186,178,252,115,123,100,127,213,270,260,227,0
Iran (Islamic Republic of),Asia,1172,1429,1822,1592,1977,1648,1794,2989,3273,3781,3655,0
Iraq,Asia,262,245,260,380,428,231,265,384,619,911,557,0
Ireland,Europe,781,895,707,298,327,287,481,1078,1415,1378,845,1
Israel,Asia,1403,1711,1334,541,446,680,1212,1497,1389,1762,1596,0
Italy,Europe,1820,2057,1480,820,858,667,731,1101,885,1068,895,1
Jamaica,Latin America and the Caribbean,3198,2634,2661,2455,2508,2938,4649,5415,3924,3946,4945,0
Japan,Asia,701,756,598,309,246,198,248,422,324,494,379,1
Jordan,Asia,177,160,155,113,102,179,181,392,489,785,841,0
Kazakhstan,Asia,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Africa,291,296,221,201,218,245,244,628,984,1140,869,0
Kiribati,Oceania,0,0,0,1,0,0,0,0,0,2,0,0
Kuwait,Asia,1,0,8,2,1,4,4,9,19,19,26,0
Kyrgyzstan,Asia,0,0,0,0,0,0,0,0,0,0,0,0
Lao People's Democratic Republic,Asia,11,6,16,16,7,17,21,20,22,44,34,0
Latvia,Europe,0,0,0,0,0,0,1,0,0,0,10,1
Lebanon,Asia,1409,1119,1159,789,1253,1683,2576,3803,3970,7157,13568,0
Lesotho,Africa,1,1,1,2,7,5,3,1,6,5,1,0
Liberia,Africa,1,2,2,1,4,4,3,4,3,7,5,0
Libya,Africa,5,7,9,24,10,31,23,81,43,77,47,0
Liechtenstein,Europe,1,4,2,0,0,3,0,1,1,1,0,1
Lithuania,Europe,1,1,0,0,0,1,0,0,1,1,5,1
Luxembourg,Europe,14,4,2,5,1,3,6,2,4,8,1,1
Madagascar,Africa,22,10,13,32,30,18,10,42,36,27,28,0
Malawi,Africa,5,4,6,3,2,0,4,7,1,4,10,0
Malaysia,Asia,786,816,813,448,384,374,425,817,2072,2346,1917,0
Maldives,Asia,0,0,0,1,0,0,0,0,0,0,0,0
Mali,Africa,4,4,7,3,3,4,3,5,4,7,13,0
Malta,Europe,191,242,153,64,60,68,76,78,111,68,38,1
Marshall Islands,Oceania,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Africa,5,0,3,3,1,1,1,4,3,6,4,0
Mauritius,Africa,306,259,353,170,207,164,325,578,531,399,401,0
Mexico,Latin America and the Caribbean,409,394,491,490,509,425,667,813,916,1017,1193,0
Monaco,Europe,0,0,0,0,0,1,0,1,0,1,3,1
Mongolia,Asia,0,0,0,0,0,0,0,0,0,0,1,0
Montenegro,Europe,0,0,0,0,0,0,0,0,0,0,0,1
Morocco,Africa,325,471,447,335,248,328,388,505,685,1060,1313,0
Mozambique,Africa,0,0,7,2,3,1,3,1,5,5,3,0
Myanmar,Asia,80,62,46,31,41,23,18,33,55,77,133,0
Namibia,Africa,0,5,5,3,2,1,1,4,3,2,2,0
Nauru,Oceania,1,0,0,0,0,0,0,0,1,0,0,0
Nepal,Asia,1,1,6,1,2,4,13,6,13,4,23,0
Netherlands,Europe,1889,1858,1852,716,560,510,539,647,832,825,637,1
New Caledonia,Oceania,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,Oceania,602,480,364,140,164,148,176,208,200,237,270,1
Nicaragua,Latin America and the Caribbean,18,21,27,55,126,468,670,1073,969,705,710,0
Niger,Africa,0,0,1,1,0,0,0,4,0,1,1,0
Nigeria,Africa,81,60,58,58,78,78,114,149,122,195,181,0
Norway,Europe,116,77,106,51,31,54,56,80,73,76,83,1
Oman,Asia,0,0,0,8,0,0,0,3,0,1,5,0
Pakistan,Asia,978,972,1201,900,668,514,691,1072,1334,2261,2470,0
Palau,Oceania,0,0,0,0,0,0,0,0,0,0,0,0
Panama,Latin America and the Caribbean,13,8,14,10,11,17,16,26,21,108,116,0
Papua New Guinea,Oceania,0,2,2,4,2,2,1,1,3,0,1,0
Paraguay,Latin America and the Caribbean,45,26,32,40,48,36,34,72,53,48,56,0
Peru,Latin America and the Caribbean,317,456,401,241,306,328,628,843,1237,1667,1384,0
Philippines,Asia,6051,5921,5249,4562,3801,3150,4166,7360,8639,11865,12509,0
Poland,Europe,863,2930,5881,4546,3588,2819,4808,6931,9211,16025,17040,1
Portugal,Europe,4473,3486,2432,1433,1398,1451,2617,7684,6888,8570,8452,1
Qatar,Asia,0,0,0,0,0,0,1,0,1,0,2,0
Republic of Korea,Asia,1011,1456,1572,1081,847,962,1208,2338,2805,2979,2087,0
Republic of Moldova,Europe,0,0,0,0,0,0,0,0,0,0,0,1
Romania,Europe,375,438,583,543,524,604,656,1202,1106,1582,2252,1
Russian Federation,Europe,0,0,0,0,0,0,0,0,0,0,0,1
Rwanda,Africa,6,6,8,4,3,0,9,3,12,11,16,0
Saint Kitts and Nevis,Latin America and the Caribbean,5,3,0,16,21,17,36,43,39,45,32,0
Saint Lucia,Latin America and the Caribbean,69,89,133,69,68,80,95,92,77,76,95,0
Saint Vincent and the Grenadines,Latin America and the Caribbean,147,190,202,154,158,182,209,216,133,133,179,0
Samoa,Oceania,3,7,4,1,3,0,3,0,1,1,2,0
San Marino,Europe,1,0,0,0,0,0,1,0,0,0,1,1
Sao Tome and Principe,Africa,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,Asia,0,0,1,4,1,2,5,7,29,41,22,0
Senegal,Africa,13,10,9,11,7,11,16,19,17,22,38,0
Serbia,Europe,0,0,0,0,0,0,0,0,0,0,0,1
Seychelles,Africa,5,15,3,4,1,8,13,24,19,25,78,0
Sierra Leone,Africa,6,6,7,3,12,10,13,57,26,18,12,0
Singapore,Asia,241,301,337,169,128,139,205,372,808,1269,843,0
Slovakia,Europe,0,0,0,0,0,0,0,0,0,0,0,1
Slovenia,Europe,0,0,0,0,0,0,0,0,0,0,0,1
Somalia,Africa,7,10,7,12,14,10,37,190,217,401,1059,0
South Africa,Africa,1026,1118,781,379,271,310,718,1470,1305,1301,902,0
Spain,Europe,211,299,260,133,137,98,121,176,137,168,122,1
Sri Lanka,Asia,185,371,290,197,1086,845,1838,4447,2779,2758,3525,0
State of Palestine,Asia,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Africa,20,12,11,7,23,32,57,43,54,98,151,0
Suriname,Latin America and the Caribbean,15,10,21,12,5,16,7,46,16,24,26,0
Swaziland,Africa,4,1,1,0,10,7,1,2,7,3,4,0
Sweden,Europe,281,308,222,176,128,158,187,198,171,182,130,1
Switzerland,Europe,806,811,634,370,326,314,294,565,508,523,505,1
Syrian Arab Republic,Asia,315,419,409,269,264,385,493,927,864,1454,1791,0
Tajikistan,Asia,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,Asia,56,53,113,65,82,66,78,117,147,177,171,0
The former Yugoslav Republic of Macedonia,Europe,0,0,0,0,0,0,0,0,0,0,0,1
Togo,Africa,5,5,2,3,6,5,8,23,11,14,17,0
Tonga,Oceania,2,4,7,1,2,5,7,0,4,9,7,0
Trinidad and Tobago,Latin America and the Caribbean,958,947,972,766,606,699,955,1676,2218,3054,2843,0
Tunisia,Africa,58,51,55,46,51,57,64,86,130,242,326,0
Turkey,Asia,481,874,706,280,338,202,257,397,346,488,767,0
Turkmenistan,Asia,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,Oceania,0,1,0,0,1,0,0,0,1,0,0,0
Uganda,Africa,13,16,17,38,32,29,40,70,60,47,75,0
Ukraine,Europe,0,0,0,0,0,0,0,0,0,0,0,1
United Arab Emirates,Asia,0,2,2,1,2,0,5,4,1,17,7,0
United Kingdom of Great Britain and Northern Ireland,Europe,22045,24796,20620,10015,10170,9564,9470,21337,27359,23795,31668,1
United Republic of Tanzania,Africa,635,832,621,474,473,460,403,538,532,662,739,0
United States of America,Northern America,9378,10030,9074,7100,6661,6543,7074,7705,6469,6790,5892,1
Uruguay,Latin America and the Caribbean,128,132,146,105,90,92,137,269,99,144,111,0
Uzbekistan,Asia,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,Oceania,0,0,0,0,0,0,0,0,0,0,1,0
Venezuela (Bolivarian Republic of),Latin America and the Caribbean,103,117,174,124,142,165,179,229,279,304,344,0
Viet Nam,Asia,1191,1829,2162,3404,7583,5907,2741,1406,1411,3004,3801,0
Western Sahara,Africa,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,Asia,1,2,1,6,0,18,7,12,7,18,4,0
Zambia,Africa,11,17,11,7,16,9,15,23,44,68,77,0
Zimbabwe,Africa,72,114,102,44,32,29,43,68,99,187,129,0
