AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,Class
76110,1721.329,469.6335,224.6636,0.8782,311.2977,0.8485,89701,0.6471,2.0904,0.3228,0.6629,0.0062,0.003,0.4394,0.9185,1
48825,1095.2321,369.8846,172.9719,0.8839,249.3309,0.9236,52865,0.6802,2.1384,0.5115,0.6741,0.0076,0.0035,0.4544,0.9717,1
60052,1109.887,406.9545,193.4755,0.8798,276.5151,0.9358,64170,0.7233,2.1034,0.6126,0.6795,0.0068,0.0032,0.4617,0.9711,1
83068,1194.953,472.6163,232.1761,0.871,325.216,0.9297,89346,0.7602,2.0356,0.731,0.6881,0.0057,0.0028,0.4735,0.9639,1
88422,1228.655,491.7816,232.7189,0.8809,335.533,0.9805,90184,0.7828,2.1132,0.7361,0.6823,0.0056,0.0026,0.4655,0.9837,1
53305,1360.2791,391.9669,181.4,0.8865,260.5188,0.9008,59173,0.6715,2.1608,0.362,0.6646,0.0074,0.0034,0.4418,0.9545,1
65471,1888.229,401.476,215.7959,0.8433,288.7218,0.91,71950,0.7343,1.8604,0.2308,0.7192,0.0061,0.0033,0.5172,0.9622,1
73525,1146.691,433.863,225.662,0.8541,305.9656,0.9371,78462,0.7119,1.9226,0.7027,0.7052,0.0059,0.0031,0.4973,0.9562,1
73305,1286.464,439.9381,214.2885,0.8734,305.5075,0.9681,75722,0.759,2.053,0.5566,0.6944,0.006,0.0029,0.4822,0.99,1
75858,2226.1299,457.2219,231.9447,0.8618,310.7819,0.8915,85093,0.5994,1.9713,0.1924,0.6797,0.006,0.0031,0.462,0.9108,1
83252,2418.3091,507.1465,229.1038,0.8921,325.576,0.8694,95756,0.7075,2.2136,0.1789,0.642,0.0061,0.0028,0.4121,0.9123,1
71308,2007.626,423.6988,245.6564,0.8148,301.3174,0.8691,82046,0.6809,1.7248,0.2223,0.7112,0.0059,0.0034,0.5057,0.8723,1
75673,1377.975,434.4699,237.145,0.8379,310.4027,0.913,82882,0.7315,1.8321,0.5008,0.7144,0.0057,0.0031,0.5104,0.9351,1
74356,2528.801,474.0894,229.4486,0.8751,307.6898,0.8248,90148,0.6428,2.0662,0.1461,0.649,0.0064,0.0031,0.4212,0.8703,1
58786,2212.365,432.6855,217.2868,0.8648,273.5848,0.7627,77076,0.602,1.9913,0.1509,0.6323,0.0074,0.0037,0.3998,0.7961,1
81524,1336.546,454.9424,232.0323,0.8602,322.1794,0.9618,84760,0.7146,1.9607,0.5735,0.7082,0.0056,0.0028,0.5015,0.9833,1
67458,1792.79,418.4832,228.1802,0.8383,293.0703,0.8805,76613,0.6471,1.834,0.2637,0.7003,0.0062,0.0034,0.4904,0.8995,1
84628,1392.062,479.9708,230.7856,0.8768,328.2556,0.9375,90268,0.7362,2.0797,0.5488,0.6839,0.0057,0.0027,0.4677,0.9727,1
81530,1987.7841,463.7215,236.5881,0.8601,322.1913,0.9201,88606,0.7304,1.96,0.2593,0.6948,0.0057,0.0029,0.4827,0.9462,1
90180,1188.213,452.9105,254.3419,0.8274,338.8521,0.9865,91412,0.7636,1.7807,0.8027,0.7482,0.005,0.0028,0.5598,0.9968,1
67223,1359.09,418.6153,217.6125,0.8543,292.5594,0.9303,72259,0.6915,1.9237,0.4573,0.6989,0.0062,0.0032,0.4884,0.9396,1
96425,1347.23,513.5703,243.3371,0.8806,350.3885,0.9759,98802,0.7015,2.1105,0.6676,0.6823,0.0053,0.0025,0.4655,0.9824,1
84292,1238.2,428.8432,255.9749,0.8023,327.6033,0.9621,87609,0.7599,1.6753,0.6909,0.7639,0.0051,0.003,0.5836,0.9777,1
53286,1253.347,403.966,176.8418,0.8991,260.4724,0.8709,61184,0.634,2.2843,0.4263,0.6448,0.0076,0.0033,0.4158,0.9497,1
74424,1205.576,445.501,227.3165,0.86,307.8304,0.8941,83235,0.6622,1.9598,0.6435,0.691,0.006,0.0031,0.4774,0.9357,1
70689,2024.5959,460.4317,208.2718,0.8918,300.0067,0.897,78808,0.7161,2.2107,0.2167,0.6516,0.0065,0.0029,0.4246,0.9386,1
81460,2009.209,470.2433,252.9894,0.8429,322.0529,0.8651,94167,0.6763,1.8587,0.2536,0.6849,0.0058,0.0031,0.469,0.8718,1
77441,2748.8569,428.3756,274.7805,0.7672,314.0079,0.8114,95443,0.6529,1.559,0.1288,0.733,0.0055,0.0035,0.5373,0.8377,1
91081,1296.701,513.0668,231.2566,0.8927,340.5406,0.9708,93820,0.7511,2.2186,0.6807,0.6637,0.0056,0.0025,0.4405,0.9774,1
75635,1561.036,446.4532,229.405,0.8579,310.3248,0.8969,84327,0.5822,1.9461,0.39,0.6951,0.0059,0.003,0.4831,0.9403,1
73119,1161.65,459.8024,207.723,0.8921,305.1197,0.965,75774,0.7663,2.2135,0.6809,0.6636,0.0063,0.0028,0.4403,0.9747,1
65537,1738.9969,422.4373,221.3358,0.8517,288.8673,0.8709,75252,0.6886,1.9086,0.2723,0.6838,0.0064,0.0034,0.4676,0.8924,1
86114,1275.5,482.045,230.2585,0.8785,331.125,0.9709,88698,0.6016,2.0935,0.6652,0.6869,0.0056,0.0027,0.4719,0.9878,1
43934,1850.2111,361.9039,174.2819,0.8764,236.5132,0.8064,54479,0.6403,2.0765,0.1613,0.6535,0.0082,0.004,0.4271,0.8869,1
73362,1100.2889,428.7806,221.174,0.8567,305.6263,0.9843,74530,0.7755,1.9387,0.7615,0.7128,0.0058,0.003,0.5081,0.9849,1
85526,1333.933,479.3066,233.0093,0.8739,329.9926,0.9506,89969,0.7304,2.057,0.604,0.6885,0.0056,0.0027,0.474,0.975,1
63121,1589.677,447.8658,192.5081,0.9029,283.4928,0.8905,70880,0.6375,2.3265,0.3139,0.633,0.0071,0.003,0.4007,0.9322,1
81333,1221.348,506.2325,214.2905,0.906,321.8018,0.936,86896,0.6167,2.3624,0.6852,0.6357,0.0062,0.0026,0.4041,0.9546,1
55508,1029.842,396.2707,191.7932,0.8751,265.8477,0.9104,60968,0.7225,2.0661,0.6577,0.6709,0.0071,0.0035,0.4501,0.9299,1
70579,1399.671,432.6053,211.7505,0.872,299.7732,0.9514,74186,0.718,2.043,0.4527,0.6929,0.0061,0.003,0.4802,0.981,1
67625,1157.953,413.7079,216.2977,0.8524,293.4328,0.9468,71427,0.681,1.9127,0.6338,0.7093,0.0061,0.0032,0.5031,0.9622,1
75330,1214.089,436.8484,222.0092,0.8612,309.6985,0.9702,77640,0.7731,1.9677,0.6422,0.7089,0.0058,0.0029,0.5026,0.989,1
76164,1123.151,457.5223,214.1462,0.8837,311.4081,0.9788,77811,0.7506,2.1365,0.7587,0.6806,0.006,0.0028,0.4633,0.9898,1
65570,2071.4451,418.0258,217.1458,0.8545,288.94,0.8976,73054,0.5945,1.9251,0.192,0.6912,0.0064,0.0033,0.4778,0.9197,1
64771,1478.691,446.959,190.6946,0.9044,287.1742,0.9285,69756,0.7067,2.3438,0.3723,0.6425,0.0069,0.0029,0.4128,0.9676,1
71771,1425.094,445.004,211.9985,0.8792,302.294,0.9294,77220,0.745,2.0991,0.4441,0.6793,0.0062,0.003,0.4615,0.9686,1
84232,1528.723,484.7547,229.0246,0.8814,327.4867,0.9417,89443,0.615,2.1166,0.4529,0.6756,0.0058,0.0027,0.4564,0.966,1
75031,1159.2629,456.2571,222.0204,0.8736,309.0832,0.9331,80407,0.6655,2.055,0.7016,0.6774,0.0061,0.003,0.4589,0.9431,1
71407,1176.4659,443.3218,211.6084,0.8787,301.5265,0.9437,75664,0.7116,2.095,0.6483,0.6802,0.0062,0.003,0.4626,0.9692,1
75516,1731.484,411.7352,245.762,0.8023,310.0806,0.9148,82546,0.7169,1.6753,0.3165,0.7531,0.0055,0.0033,0.5672,0.9502,1
84529,1169.575,476.1964,228.5816,0.8773,328.0635,0.9888,85490,0.787,2.0833,0.7765,0.6889,0.0056,0.0027,0.4746,0.9888,1
62238,1814.608,405.7151,205.6124,0.8621,281.5029,0.8895,69971,0.6034,1.9732,0.2375,0.6938,0.0065,0.0033,0.4814,0.9499,1
74244,2004.193,431.8755,249.3853,0.8164,307.4579,0.8425,88119,0.657,1.7318,0.2323,0.7119,0.0058,0.0034,0.5068,0.8777,1
72577,1765.828,503.3036,194.4765,0.9223,303.9867,0.8879,81744,0.7244,2.588,0.2925,0.604,0.0069,0.0027,0.3648,0.9441,1
65565,1115.9399,438.7311,197.1891,0.8933,288.929,0.9378,69915,0.7139,2.2249,0.6616,0.6586,0.0067,0.003,0.4337,0.9649,1
65994,2394.1021,437.4028,213.106,0.8733,289.8727,0.8685,75987,0.6656,2.0525,0.1447,0.6627,0.0066,0.0032,0.4392,0.9014,1
63050,1649.811,394.5666,230.5279,0.8116,283.3333,0.8815,71526,0.6735,1.7116,0.2911,0.7181,0.0063,0.0037,0.5156,0.8826,1
78830,1525.908,418.7831,243.061,0.8143,316.8114,0.9528,82738,0.7454,1.723,0.4254,0.7565,0.0053,0.0031,0.5723,0.986,1
67873,1328.665,444.0167,200.4494,0.8923,293.9704,0.9549,71081,0.6245,2.2151,0.4831,0.6621,0.0065,0.003,0.4383,0.971,1
60519,1036.614,417.9505,187.7278,0.8934,277.5882,0.9837,61520,0.746,2.2264,0.7077,0.6642,0.0069,0.0031,0.4411,0.9821,1
69417,1199.814,442.4721,202.4234,0.8892,297.2953,0.9777,70998,0.7603,2.1859,0.606,0.6719,0.0064,0.0029,0.4514,0.9868,1
85660,1188.316,474.8121,234.9223,0.869,330.251,0.9873,86763,0.753,2.0211,0.7623,0.6955,0.0055,0.0027,0.4838,0.9778,1
64046,1431.364,409.9027,207.0709,0.863,285.5624,0.9182,69755,0.6562,1.9795,0.3928,0.6967,0.0064,0.0032,0.4853,0.9607,1
72064,1151.364,436.2237,213.0541,0.8726,302.9104,0.9781,73679,0.767,2.0475,0.6831,0.6944,0.0061,0.003,0.4822,0.9873,1
51626,1030.5439,381.8336,178.0177,0.8847,256.3831,0.9589,53839,0.6754,2.1449,0.6109,0.6715,0.0074,0.0034,0.4508,0.967,1
77603,1137.225,418.1591,245.092,0.8102,314.3362,0.981,79102,0.6393,1.7061,0.754,0.7517,0.0054,0.0032,0.5651,0.9641,1
81733,1291.535,467.2177,226.7052,0.8744,322.5921,0.949,86121,0.6764,2.0609,0.6157,0.6905,0.0057,0.0028,0.4767,0.9825,1
71560,1225.517,426.2491,218.7881,0.8582,301.8493,0.9492,75387,0.7279,1.9482,0.5987,0.7082,0.006,0.0031,0.5015,0.977,1
75944,1206.291,409.6142,239.2557,0.8117,310.958,0.9749,77897,0.7338,1.712,0.6558,0.7591,0.0054,0.0032,0.5763,0.9867,1
53898,999.22,354.2534,202.1277,0.8212,261.9639,0.9235,58360,0.5984,1.7526,0.6784,0.7395,0.0066,0.0038,0.5468,0.9584,1
58747,1323.016,462.1706,166.2839,0.933,273.4941,0.9328,62980,0.5789,2.7794,0.4218,0.5918,0.0079,0.0028,0.3502,0.9733,1
74993,1128.313,448.2543,215.2649,0.8771,309.0049,0.9805,76486,0.761,2.0823,0.7402,0.6894,0.006,0.0029,0.4752,0.9895,1
67543,1130.658,451.7998,193.119,0.904,293.2549,0.9568,70591,0.7381,2.3395,0.6639,0.6491,0.0067,0.0029,0.4213,0.9856,1
77892,1448.8051,436.2948,243.0868,0.8304,314.9209,0.9088,85709,0.7049,1.7948,0.4663,0.7218,0.0056,0.0031,0.521,0.9351,1
73389,1098.171,385.104,244.8001,0.772,305.6825,0.9828,74673,0.7478,1.5731,0.7647,0.7938,0.0052,0.0033,0.6301,0.9912,1
67270,1084.45,425.1971,204.9928,0.8761,292.6616,0.9711,69272,0.7504,2.0742,0.7188,0.6883,0.0063,0.003,0.4738,0.9827,1
67479,1129.502,408.6271,214.1121,0.8517,293.1159,0.969,69635,0.7443,1.9085,0.6647,0.7173,0.0061,0.0032,0.5145,0.982,1
87728,1916.079,466.1459,267.3908,0.8191,334.2137,0.8576,102293,0.6723,1.7433,0.3003,0.717,0.0053,0.003,0.514,0.8961,1
65887,1226.8669,438.0079,201.4647,0.8879,289.6376,0.9184,71743,0.6786,2.1741,0.5501,0.6613,0.0066,0.0031,0.4373,0.9507,1
78148,1867.463,438.0012,235.8488,0.8426,315.438,0.9302,84013,0.735,1.8571,0.2816,0.7202,0.0056,0.003,0.5187,0.9632,1
71972,1093.48,437.0005,217.7932,0.867,302.717,0.9517,75625,0.7441,2.0065,0.7564,0.6927,0.0061,0.003,0.4799,0.9628,1
66182,1127.674,407.3528,214.0756,0.8508,290.2853,0.9645,68621,0.7303,1.9028,0.654,0.7126,0.0062,0.0032,0.5078,0.9663,1
80428,1528.296,464.1943,224.5781,0.8752,320.0064,0.9721,82734,0.7409,2.067,0.4327,0.6894,0.0058,0.0028,0.4752,0.9823,1
67549,1263.192,431.1825,213.6102,0.8687,293.2679,0.9117,74089,0.6853,2.0185,0.532,0.6801,0.0064,0.0032,0.4626,0.9338,1
82580,1201.869,471.6422,226.6239,0.877,324.2593,0.9738,84804,0.7367,2.0812,0.7184,0.6875,0.0057,0.0027,0.4727,0.9837,1
78827,2755.0491,498.7084,233.7637,0.8833,316.8054,0.8542,92287,0.6831,2.1334,0.1305,0.6353,0.0063,0.003,0.4035,0.8609,1
73197,1383.817,432.2907,226.5098,0.8517,305.2823,0.9269,78972,0.6413,1.9085,0.4803,0.7062,0.0059,0.0031,0.4987,0.9518,1
67486,1254.58,435.8694,204.1778,0.8835,293.1311,0.9468,71280,0.7509,2.1348,0.5388,0.6725,0.0065,0.003,0.4523,0.9655,1
67297,1135.11,422.0551,206.534,0.8721,292.7203,0.9607,70053,0.7059,2.0435,0.6563,0.6936,0.0063,0.0031,0.481,0.983,1
82148,1233.542,485.0299,220.6042,0.8906,323.4101,0.9609,85489,0.7492,2.1986,0.6784,0.6668,0.0059,0.0027,0.4446,0.9775,1
48770,2225.429,375.4734,199.815,0.8466,249.1905,0.7681,63495,0.5746,1.8791,0.1237,0.6637,0.0077,0.0041,0.4405,0.8277,1
70106,1115.47,432.6415,217.0622,0.865,298.767,0.9455,74144,0.7325,1.9932,0.708,0.6906,0.0062,0.0031,0.4769,0.9505,1
60694,2086.55,423.8828,194.9007,0.888,277.9892,0.8996,67467,0.7255,2.1749,0.1752,0.6558,0.007,0.0032,0.4301,0.9354,1
73508,1485.879,472.5662,210.5107,0.8953,305.9302,0.9328,78807,0.6938,2.2449,0.4184,0.6474,0.0064,0.0029,0.4191,0.9408,1
71848,1138.556,462.0606,206.0044,0.8951,302.4561,0.9411,76343,0.7149,2.243,0.6965,0.6546,0.0064,0.0029,0.4285,0.9611,1
75029,1459.381,421.1766,240.2017,0.8214,309.0791,0.936,80155,0.6927,1.7534,0.4427,0.7338,0.0056,0.0032,0.5385,0.9443,1
53594,1321.155,386.377,182.4593,0.8815,261.224,0.928,57755,0.7157,2.1176,0.3858,0.6761,0.0072,0.0034,0.4571,0.9679,1
81061,1692.101,457.3645,236.0149,0.8566,321.2632,0.8837,91729,0.6486,1.9379,0.3558,0.7024,0.0056,0.0029,0.4934,0.9561,1
72169,1779.605,447.7899,218.2805,0.8731,303.131,0.9037,79861,0.6959,2.0514,0.2864,0.6769,0.0062,0.003,0.4583,0.9401,1
72129,1988.524,427.3333,230.5246,0.842,303.047,0.8418,85686,0.6516,1.8537,0.2292,0.7092,0.0059,0.0032,0.5029,0.9323,1
88064,1329.155,460.8669,245.5073,0.8463,334.8531,0.9734,90472,0.7548,1.8772,0.6264,0.7266,0.0052,0.0028,0.5279,0.991,1
77232,1117.431,439.6949,230.5794,0.8515,313.5839,0.9518,81139,0.7547,1.9069,0.7773,0.7132,0.0057,0.003,0.5086,0.9699,1
86454,1206.754,459.0285,252.7641,0.8347,331.778,0.9234,93621,0.7365,1.816,0.746,0.7228,0.0053,0.0029,0.5224,0.9487,1
66146,1116.3879,439.9942,200.2433,0.8904,290.2063,0.9361,70660,0.7105,2.1973,0.6669,0.6596,0.0067,0.003,0.435,0.9559,1
73828,1987.047,457.0342,266.923,0.8117,306.5954,0.7965,92690,0.5934,1.7122,0.235,0.6708,0.0062,0.0036,0.45,0.7705,1
67664,1218.5291,439.3765,198.2363,0.8924,293.5174,0.9616,70366,0.7544,2.2164,0.5727,0.668,0.0065,0.0029,0.4463,0.9891,1
76212,1184.293,457.3364,219.2388,0.8776,311.5062,0.9665,78850,0.7664,2.086,0.6828,0.6811,0.006,0.0029,0.4639,0.9678,1
78202,2082.624,444.6622,250.8203,0.8257,315.547,0.885,88363,0.7176,1.7728,0.2266,0.7096,0.0057,0.0032,0.5036,0.8928,1
74947,1074.4301,407.2418,238.3277,0.8109,308.9102,0.9794,76522,0.6641,1.7087,0.8158,0.7585,0.0054,0.0032,0.5754,0.9832,1
72594,1199.269,438.1911,213.6348,0.8731,304.0223,0.9703,74818,0.789,2.0511,0.6343,0.6938,0.006,0.0029,0.4814,0.9874,1
73893,1104.075,437.978,217.0961,0.8685,306.7303,0.9807,75345,0.7864,2.0174,0.7618,0.7003,0.0059,0.0029,0.4905,0.9895,1
55933,1065.739,364.35,200.6012,0.8348,266.8635,0.9568,58457,0.7136,1.8163,0.6188,0.7324,0.0065,0.0036,0.5365,0.9744,1
71193,1147.624,422.2492,219.2613,0.8546,301.0743,0.9629,73938,0.7072,1.9258,0.6793,0.713,0.0059,0.0031,0.5084,0.9791,1
60789,1036.1479,412.5437,190.2175,0.8874,278.2067,0.9793,62075,0.7766,2.1688,0.7115,0.6744,0.0068,0.0031,0.4548,0.9863,1
71173,1650.584,394.5998,240.7359,0.7923,301.032,0.9181,77524,0.725,1.6391,0.3283,0.7629,0.0055,0.0034,0.582,0.954,1
54675,1863.24,370.5511,289.2766,0.6249,263.8454,0.6839,79942,0.5844,1.281,0.1979,0.712,0.0068,0.0053,0.507,0.6494,1
63714,1652.208,415.7028,222.0418,0.8454,284.8213,0.8545,74563,0.6452,1.8722,0.2933,0.6852,0.0065,0.0035,0.4694,0.8789,1
74823,1724.351,435.1196,227.8139,0.852,308.6545,0.954,78432,0.7313,1.91,0.3162,0.7094,0.0058,0.003,0.5032,0.9611,1
70394,1238.661,435.3858,211.9258,0.8735,299.3801,0.9535,73828,0.7509,2.0544,0.5766,0.6876,0.0062,0.003,0.4728,0.9714,1
79386,1257.4659,462.4738,231.0645,0.8662,317.9267,0.9291,85445,0.7082,2.0015,0.6309,0.6874,0.0058,0.0029,0.4726,0.9459,1
75669,1436.559,415.8894,239.3196,0.8178,310.3945,0.9406,80444,0.7388,1.7378,0.4608,0.7463,0.0055,0.0032,0.557,0.968,1
79239,1404.689,477.6644,214.9409,0.893,317.6322,0.9535,83099,0.7731,2.2223,0.5046,0.665,0.006,0.0027,0.4422,0.9827,1
71187,1247.153,429.8573,221.4667,0.8571,301.0616,0.9273,76772,0.7332,1.941,0.5751,0.7004,0.006,0.0031,0.4905,0.9521,1
78980,1123.162,453.9165,223.2982,0.8706,317.1127,0.988,79939,0.7749,2.0328,0.7868,0.6986,0.0057,0.0028,0.4881,0.9921,1
85974,1202.751,478.2428,235.4068,0.8705,330.8557,0.9537,90150,0.7376,2.0316,0.7468,0.6918,0.0056,0.0027,0.4786,0.9723,1
89960,1213.4139,474.2642,249.1864,0.8508,338.4385,0.9591,93799,0.7509,1.9033,0.7678,0.7136,0.0053,0.0028,0.5092,0.9692,1
91253,1257.923,488.4753,246.1486,0.8638,340.862,0.9548,95574,0.733,1.9845,0.7247,0.6978,0.0054,0.0027,0.4869,0.9663,1
70929,1181.103,409.9395,228.543,0.8302,300.5156,0.9574,74083,0.7485,1.7937,0.6389,0.7331,0.0058,0.0032,0.5374,0.9639,1
61816,1103.546,409.6489,201.6053,0.8705,280.5469,0.9454,65384,0.6297,2.0319,0.6379,0.6848,0.0066,0.0033,0.469,0.953,1
82234,1223.542,532.0884,199.1675,0.9273,323.5793,0.982,83742,0.8033,2.6716,0.6903,0.6081,0.0065,0.0024,0.3698,0.988,1
64524,1033.183,399.925,218.3169,0.8379,286.6261,0.9465,68168,0.7239,1.8319,0.7596,0.7167,0.0062,0.0034,0.5137,0.9409,1
75322,1100.254,429.3439,227.7799,0.8477,309.682,0.9727,77438,0.7473,1.8849,0.7819,0.7213,0.0057,0.003,0.5203,0.9806,1
85842,1185.7321,494.4196,223.8443,0.8916,330.6016,0.9792,87663,0.7891,2.2088,0.7672,0.6687,0.0058,0.0026,0.4471,0.9876,1
75728,1080.582,431.7364,224.4065,0.8543,310.5155,0.9911,76410,0.7184,1.9239,0.815,0.7192,0.0057,0.003,0.5173,0.9952,1
83311,1208.881,473.0142,228.6437,0.8754,325.6913,0.9687,86004,0.7708,2.0688,0.7164,0.6885,0.0057,0.0027,0.4741,0.9808,1
43219,1409.616,321.4255,210.8289,0.7548,234.5808,0.8082,53478,0.6842,1.5246,0.2733,0.7298,0.0074,0.0049,0.5326,0.812,1
52670,986.601,352.5237,195.5612,0.832,258.9624,0.9496,55464,0.757,1.8026,0.68,0.7346,0.0067,0.0037,0.5396,0.9728,1
86591,1244.09,473.9036,238.4917,0.8641,332.0408,0.9581,90376,0.6263,1.9871,0.703,0.7007,0.0055,0.0028,0.4909,0.9755,1
72527,1143.349,437.5953,217.2991,0.868,303.882,0.9626,75343,0.6825,2.0138,0.6972,0.6944,0.006,0.003,0.4822,0.9711,1
82856,1126.554,445.3152,240.9795,0.8409,324.8008,0.9818,84394,0.7706,1.8479,0.8204,0.7294,0.0054,0.0029,0.532,0.9831,1
93411,1219.114,481.9766,249.5084,0.8556,344.8689,0.9761,95702,0.717,1.9317,0.7898,0.7155,0.0052,0.0027,0.512,0.989,1
83314,1369.2321,469.6188,231.982,0.8695,325.6972,0.9517,87540,0.7047,2.0244,0.5584,0.6935,0.0056,0.0028,0.481,0.9737,1
72714,1151.325,432.3479,217.9682,0.8636,304.2735,0.9809,74133,0.7431,1.9835,0.6893,0.7038,0.0059,0.003,0.4953,0.9824,1
80982,1198.704,484.6619,217.9012,0.8932,321.1067,0.9682,83644,0.7887,2.2242,0.7082,0.6625,0.006,0.0027,0.439,0.9763,1
83454,1212.9399,478.7658,228.1468,0.8792,325.9708,0.9643,86540,0.7338,2.0985,0.7128,0.6809,0.0057,0.0027,0.4636,0.9728,1
88120,1266.137,462.0862,246.7303,0.8455,334.9595,0.9753,90350,0.7594,1.8728,0.6908,0.7249,0.0052,0.0028,0.5255,0.9841,1
83685,2178.189,476.7235,236.4716,0.8683,326.4216,0.9119,91770,0.7235,2.016,0.2216,0.6847,0.0057,0.0028,0.4688,0.9452,1
69946,1169.307,409.3998,226.302,0.8333,298.4259,0.9418,74269,0.7199,1.8091,0.6429,0.7289,0.0059,0.0032,0.5313,0.9613,1
86365,1212.532,473.9468,237.2193,0.8657,331.6072,0.9656,89440,0.7608,1.9979,0.7382,0.6997,0.0055,0.0027,0.4895,0.9781,1
75231,1118.512,436.2821,224.8806,0.8569,309.4949,0.964,78041,0.7559,1.9401,0.7557,0.7094,0.0058,0.003,0.5032,0.9763,1
81341,1399.952,466.1084,228.336,0.8718,321.8176,0.9204,88378,0.7105,2.0413,0.5215,0.6904,0.0057,0.0028,0.4767,0.9731,1
83847,1201.149,471.1476,232.1412,0.8702,326.7374,0.9622,87139,0.681,2.0296,0.7303,0.6935,0.0056,0.0028,0.4809,0.9761,1
66313,1090.271,408.4583,209.4825,0.8585,290.5724,0.9786,67766,0.7091,1.9498,0.701,0.7114,0.0062,0.0032,0.5061,0.9868,1
80147,1168.076,480.6037,214.6958,0.8947,319.4469,0.9809,81709,0.767,2.2385,0.7382,0.6647,0.006,0.0027,0.4418,0.989,1
79711,1419.0811,488.5091,217.491,0.8954,318.5768,0.9506,83855,0.7406,2.2461,0.4974,0.6521,0.0061,0.0027,0.4253,0.9552,1
69805,1110.311,445.9509,204.7685,0.8883,298.1249,0.9464,73757,0.6956,2.1778,0.7116,0.6685,0.0064,0.0029,0.4469,0.9733,1
74408,1743.986,431.6846,238.0546,0.8342,307.7974,0.9321,79829,0.7392,1.8134,0.3074,0.713,0.0058,0.0032,0.5084,0.9219,1
78877,1146.632,451.318,226.8393,0.8645,316.9059,0.9699,81322,0.7539,1.9896,0.7539,0.7022,0.0057,0.0029,0.4931,0.981,1
86398,1205.1851,492.846,228.7165,0.8858,331.6705,0.983,87888,0.7272,2.1548,0.7475,0.673,0.0057,0.0026,0.4529,0.9759,1
57739,1851.574,438.8182,261.1837,0.8036,271.1376,0.717,80524,0.5507,1.6801,0.2116,0.6179,0.0076,0.0045,0.3818,0.6414,1
66982,1265.803,435.8916,202.3306,0.8857,292.0345,0.9255,72375,0.7004,2.1544,0.5253,0.67,0.0065,0.003,0.4489,0.967,1
58016,1036.5551,395.7145,203.5236,0.8576,271.7872,0.9218,62937,0.6936,1.9443,0.6785,0.6868,0.0068,0.0035,0.4717,0.9172,1
89379,1250.196,480.1813,242.6649,0.8629,337.3438,0.9573,93365,0.7632,1.9788,0.7186,0.7025,0.0054,0.0027,0.4936,0.9766,1
57694,1651.339,401.092,205.9514,0.8581,271.0319,0.8647,66724,0.643,1.9475,0.2659,0.6757,0.007,0.0036,0.4566,0.8893,1
60132,1328.838,398.2455,198.4854,0.8669,276.6992,0.9362,64231,0.7244,2.0064,0.4279,0.6948,0.0066,0.0033,0.4827,0.9686,1
